pet1_breed,pet1_size,pet1_energy,pet1_temperament,pet1_age,pet1_social,pet1_weight,pet2_breed,pet2_size,pet2_energy,pet2_temperament,pet2_age,pet2_social,pet2_weight,compatibility_score
Golden Retriever,large,high,friendly,13,0.9762447985887944,98,Corgi,small,high,friendly,14,0.5533782769330018,8,0.955708507377258
Dachshund,small,high,stubborn,7,0.587504846297329,11,Beagle,medium,high,friendly,5,0.9854627798522855,39,0.88595325943328
Corgi,small,high,friendly,7,0.6365816126184696,12,Husky,large,medium,energetic,7,0.7222871470777444,66,0.5232786023156445
Pomeranian,small,medium,bold,11,0.48676614256252393,18,Corgi,small,low,friendly,14,0.5829911867556296,14,0.7453444049080014
Corgi,small,medium,friendly,13,0.8017094756650505,9,Bulldog,medium,low,calm,14,0.5281301596041813,56,0.8092202416275367
Pomeranian,small,medium,bold,8,0.3785307271949011,7,Pomeranian,small,medium,bold,9,0.3476545110838257,7,0.7979428421557602
Shih Tzu,small,low,calm,1,0.5462132711750949,15,Bulldog,medium,low,calm,9,0.687888337255683,28,0.9844241882181798
Boxer,large,high,playful,7,0.8937427036009946,70,Rottweiler,large,medium,protective,10,0.5717093567146962,74,0.7682136349901758
German Shepherd,large,high,protective,3,0.47792648491264317,80,Shih Tzu,small,low,calm,14,0.6649162014662748,9,0.0596642811337786
Corgi,small,medium,friendly,14,0.7798432166287239,23,Shih Tzu,small,low,calm,10,0.5472528009126179,22,0.6717151924155076
Chihuahua,small,medium,nervous,10,0.35026444852551475,6,Shih Tzu,small,medium,calm,14,0.6448050529016255,24,0.7334759498791515
Husky,large,high,energetic,4,0.6831789736535585,72,Poodle,medium,medium,intelligent,1,0.7086621884817614,48,0.7574569192244351
Boxer,large,high,playful,13,0.7708311674486796,92,Labrador,large,high,friendly,6,0.9338293536778651,72,1.0
Husky,large,high,energetic,14,0.5583699340662276,69,German Shepherd,large,high,protective,11,0.5103390711194912,76,0.9711800984901664
Border Collie,medium,high,intelligent,3,0.7719614305534048,40,Boxer,large,medium,playful,14,0.8366613513355134,83,0.722628518827972
Bulldog,medium,low,calm,13,0.7583546441869609,32,Pomeranian,small,medium,bold,10,0.43776395845531263,19,0.7237083505301236
Boxer,large,low,playful,3,0.6886211147990836,82,Golden Retriever,large,high,friendly,9,0.6174659102455984,89,0.536593647882595
Rottweiler,large,medium,protective,3,0.5410867478882957,74,Bulldog,medium,low,calm,14,0.5945563634316203,35,0.5237185892610681
Chihuahua,small,medium,nervous,9,0.3783178948356609,11,Poodle,medium,medium,intelligent,8,0.7409494726905668,33,0.9418496419312314
Beagle,medium,high,friendly,9,0.6403811799866724,55,Labrador,large,high,friendly,13,0.8385663229022949,68,0.9735200759861703
Golden Retriever,large,high,friendly,9,0.853610093863582,94,German Shepherd,large,medium,protective,13,0.5545310361883343,88,0.7821575312909623
Rottweiler,large,medium,protective,2,0.5391477218172681,75,Golden Retriever,large,low,friendly,4,1.0,68,0.7770885058001347
