age,breed,base_energy_level,hours_since_last_activity,total_distance_24h,total_duration_24h,num_activities_24h,hour_of_day,day_of_week,energy_state,energy_state_class,energy_score
8,Border Collie,high,16.520469098369674,6341.96277283488,53.10722224996886,3,6,6,high,2,0.9120553296444797
14,Border Collie,high,3.211342731192382,6836.868769935447,53.37898250015628,1,22,0,low,0,0.15986279640668882
3,Husky,high,7.073773522453053,1402.2207108297046,57.71390420581004,2,3,6,high,2,0.8894782222099102
14,Boxer,high,9.154284036877193,5587.587250671982,44.26269173855924,2,23,5,medium,1,0.3566594362279029
11,Pomeranian,medium,8.684623869403312,534.7021300920978,65.68953208608924,1,4,3,medium,1,0.4151044398026395
14,Poodle,medium,2.9215603100837955,760.2663022568612,38.538876980928606,3,4,5,medium,1,0.3733961679136633
9,Beagle,high,5.035489154423263,4195.640020029895,123.32343886751838,0,16,6,medium,1,0.5238778208697982
13,Chihuahua,medium,3.6455073916399447,1338.9594725708346,37.11224376671241,2,15,5,medium,1,0.35430694542296787
6,Rottweiler,medium,8.438825066958415,1129.6672379432664,15.13740261196848,7,20,6,medium,1,0.5516902103094564
6,Poodle,medium,5.504318513552789,2502.244585054282,43.442326445712176,4,23,0,medium,1,0.34966481734167576
2,Labrador,high,9.771182151180456,306.62581796954817,73.687449036093,0,6,1,high,2,1.0
7,Boxer,high,3.964353257969713,4376.641016224377,49.32787931473971,2,12,1,high,2,0.6801543950391833
3,Poodle,medium,5.281058855032457,385.7584918166014,73.27896384879753,3,10,1,high,2,0.6983413951195511
5,Husky,high,17.06612520597439,14532.55194105183,14.294116609850995,2,12,0,medium,1,0.37674701211183587
14,Beagle,high,3.2071524980431145,250.8946007415788,55.56278875959677,0,9,3,high,2,0.8494918936905653
5,Border Collie,high,11.45063809489516,7789.48469669584,26.234372331585476,3,5,5,medium,1,0.6578889556175386
3,German Shepherd,high,3.174356935152548,8344.902470711771,32.76990221311677,4,11,6,medium,1,0.47028704514371095
10,Chihuahua,medium,3.0009225919355185,2732.0440253588126,21.807590006520144,4,21,4,medium,1,0.3482404266610961
7,Golden Retriever,high,3.621026681029159,2083.500775303048,43.015649184427716,3,21,6,high,2,0.6778012752045671
4,Poodle,medium,3.1895560521957265,3150.298085007881,99.59105655292137,2,22,6,low,0,0.13183040772048585
3,Pomeranian,medium,2.532964316674893,8020.706681800118,4.044049270026341,4,5,6,low,0,0.21753021452817534
6,Dachshund,medium,7.361131451916407,1690.552794871004,46.573533918690856,2,14,1,medium,1,0.571485188376286
12,Rottweiler,medium,1.2002627797723782,4135.357677432111,12.672525965114119,3,1,2,low,0,0.20686827077082764
2,Poodle,medium,12.543502222119155,5552.552166210871,26.745869428505813,4,6,4,medium,1,0.6257072334914024
8,Chihuahua,medium,7.91909889892198,2134.8339274966456,93.79097302003429,3,9,2,medium,1,0.5860841801154819
12,Golden Retriever,high,8.897679970694604,5850.223076747442,36.534000980185354,3,15,0,medium,1,0.5059462791229334
14,Labrador,high,5.388273292347968,4949.669244447617,35.31155387763117,0,4,2,medium,1,0.5045455155115313
12,Chihuahua,medium,0.5797768930023108,3819.5247125666365,93.47651466544518,4,15,4,low,0,0.013466845465760685
7,Dachshund,medium,12.813810152053996,2435.7877225547168,30.95587595438115,1,19,2,medium,1,0.6566932159616641
10,Corgi,medium,10.170871680736688,2165.437863431893,113.49071048453948,2,13,4,medium,1,0.4225281466616825
4,Border Collie,high,3.0414926075829127,10755.470215947194,70.59488526857263,3,11,1,low,0,0.22887611733145213
2,Labrador,high,14.217549882313088,2813.39692307563,57.29676762229424,3,2,3,high,2,0.9249134302649448
14,Poodle,medium,3.791506939445691,5442.364775351754,64.88567631759621,2,7,1,low,0,0.19110237167566574
14,Border Collie,high,3.6603409180502826,4216.536208659328,34.601196446575166,4,20,2,medium,1,0.3715105183315071
8,Poodle,medium,1.8138154179710804,3324.255005928378,33.11433197302727,3,18,5,medium,1,0.41465579334458047
6,Boxer,high,3.0736658960835617,2122.600726091356,25.143045865398975,1,8,6,high,2,1.0
7,Rottweiler,medium,11.65312890491976,1269.937110158277,64.09131437217786,2,5,0,medium,1,0.6244609692087214
10,Corgi,medium,7.156885685134366,4437.799515413518,84.53658271412836,1,14,6,low,0,0.30833866704210744
8,Shih Tzu,low,3.4305674412825637,7029.014165471374,27.482168890468024,5,19,0,low,0,0.0
1,Bulldog,low,18.8383409209093,1244.6773694920348,50.64746855636698,4,17,3,medium,1,0.5460063684547154
11,Poodle,medium,3.280090762482887,4269.87889904308,77.88341875370348,0,7,3,low,0,0.22043356521453789
11,Boxer,high,4.73712363994524,3387.627083434454,92.93742806767216,1,20,1,low,0,0.2933508654905063
12,Boxer,high,10.687827955648272,2557.3697866097086,77.83955612221078,2,23,6,medium,1,0.4800893884253617
8,German Shepherd,high,2.646944216512043,560.1254100859601,45.68431921304786,1,8,1,high,2,1.0
14,Rottweiler,medium,3.2311576408229645,4525.793264240051,60.87593550807986,3,0,2,low,0,0.09678185938911332
7,Chihuahua,medium,14.758470863422591,1575.9436683653425,26.879484541628948,0,17,1,high,2,0.7508858496010503
5,Shih Tzu,low,4.349432401829212,4683.026797182021,66.58274413708504,1,23,4,low,0,0.0
11,Shih Tzu,low,10.594438059565128,3916.375897990873,151.2884941027005,2,2,0,low,0,0.0
13,Beagle,high,5.515236718923281,462.58529541431653,60.7777813370808,1,17,5,high,2,0.7122210409144936
5,Poodle,medium,1.0214936304771582,969.8925186131796,27.86794548234984,1,20,1,medium,1,0.40582814568528713
4,Poodle,medium,4.843326491668392,3914.0073832583616,50.865461581928315,1,2,5,medium,1,0.3853846779108173
7,Boxer,high,1.6827683039464132,8263.170828355425,143.6603325760437,1,6,1,low,0,0.32310505725767213
