pet_a,pet_b,interactions_count,last_interaction_days,avg_duration_minutes
0,266,3,1.1022421267599856,27.592356862306588
0,52,13,5.213811500229308,62.80736471635592
0,259,4,8.829196004127523,13.67531431331422
0,123,3,8.859451973466632,44.87351593876984
0,359,9,9.654508261921688,55.37309186633556
0,345,11,10.355170642402408,80.02473868699886
0,224,7,1.5050199491361727,32.14472161386094
0,38,6,17.557569920083985,24.133792512743433
0,398,4,3.885721355326446,33.59655858583024
0,98,6,2.9568283581389436,35.46144779998248
0,76,9,5.198055416894726,10.137324246582157
0,225,6,15.283413453557056,21.8194445154996
1,29,4,0.5052104008818625,12.868464408173526
1,351,4,20.54822466198723,27.24955553827712
1,461,7,3.3506821490064724,19.053716674267733
1,317,13,1.7473853044770562,16.81627889571694
1,347,10,5.930864884866314,42.84664380472268
1,350,4,0.8065663672238614,44.993381081471384
2,416,6,9.76334848398654,19.47444373790858
2,3,3,3.217652841060781,51.46728946501255
2,300,9,5.5607580954017,17.11603703138906
2,232,5,7.532944078959536,37.94374180994956
2,131,4,4.3202961833887175,23.311092012038745
2,50,10,2.4614010244829014,57.27813785633111
3,48,4,7.22955206345425,31.59674360453306
3,71,6,12.84132314533106,37.079225120396856
3,23,9,6.024919657519151,40.06512568414506
3,9,10,1.840710237493549,8.841867359976064
3,175,6,13.58978581165704,20.086367587202044
3,33,3,4.475039380427078,29.61356572330888
3,11,7,7.3882453829970824,28.5941149832398
3,68,2,4.617952078186095,19.918254834834475
3,365,6,21.52568361710433,22.821407050063698
4,23,5,1.0327005917326566,6.0202719025078
4,107,6,0.3230072027789561,30.35951155140345
4,35,7,4.626714578172242,58.54137202151765
4,305,3,0.3277702495922308,35.71971992072015
4,335,8,12.007283638114538,26.984533499165483
4,103,6,13.412576183762432,48.01314009102605
4,298,5,3.9464256623294656,29.03182719560356
4,399,2,7.3854159439377405,31.09377869856552
4,50,3,4.6436823361213415,40.83457922808354
4,248,7,3.821307821717043,22.402577022147653
4,283,10,18.636686746645424,40.55123488431001
4,88,8,1.1339686633169093,15.003975411550298
4,96,5,8.19822464657006,17.54378893992154
4,491,8,1.479917948064754,95.84276073019436
4,52,2,1.5731937100833864,24.260460412363322
4,459,5,14.777523238100432,21.549270457571588
5,408,7,13.732680933177189,47.849793939614464
5,203,11,5.740559763075235,15.179511128281856
5,393,9,7.230885577517704,38.21624673149493
5,370,9,2.925293281867128,42.21474329713452
5,38,4,6.194961194554197,43.07187865944712
5,464,8,13.183666769824395,15.003067504136354
6,278,7,4.875744660975133,38.63605165555849
6,10,9,0.5751482219431249,18.57995187188395
6,490,9,5.6089995558976575,37.25691006506161
6,444,7,0.40578728901362154,31.891389999080218
6,393,6,1.0244013195125585,30.621190424061687
6,8,4,7.822772418478375,29.501622302884527
6,154,5,1.215449085847475,35.33020537514576
6,39,6,1.8284214514160482,18.527722020795903
6,96,9,11.57890283717053,31.185483744372533
6,286,4,6.581913442547083,58.627687663244075
6,483,3,13.455305898665856,20.346759885901832
6,7,4,3.776883134976079,19.80314640617117
6,145,6,0.34466475860532775,23.21301037848539
6,327,3,7.154743259839231,23.626295614913005
6,353,8,1.3042449247520702,2.789509866873243
6,118,9,1.1019962996493138,61.27826677941713
7,322,9,14.154878150075138,19.76204929274346
7,70,4,0.9944169308649996,12.910691259374632
7,138,8,2.3235689631892047,45.42596215274997
7,49,3,19.799251751799382,32.40582852449336
7,210,4,4.773652021809138,46.34052622632179
7,61,6,7.999126221369888,18.759356427672095
7,59,10,31.204245657737488,38.84655119144896
7,125,6,1.0051389039532226,18.12778644520443
7,410,6,7.4217597867151,12.503303329817168
7,254,4,6.31242167133038,42.65522255733523
7,432,4,6.940129020313279,43.22348649084048
7,487,6,4.233933963954744,19.68458128255283
8,257,4,4.882531692739496,78.44215876785663
8,408,5,0.7039817194919518,26.05538932306893
8,383,10,4.968538692810423,45.369883906765274
8,456,8,10.135998512352327,29.80940092951334
8,420,7,10.74092236761769,42.886950854245825
8,290,4,3.7645392747502493,6.642453567402857
8,404,5,6.646206064716621,13.75401328113668
8,88,6,9.253823678731608,20.50427894856181
8,107,8,3.0006073640060804,26.31216896491445
8,393,5,8.674952383861804,40.37121368102598
8,286,3,4.558353631517349,21.080736510956605
8,228,9,11.52260554146454,21.194449807082094
8,418,7,31.912266536518988,13.756168251070806
8,127,6,5.300367208620908,14.774634592400233
8,372,5,6.420394075645407,35.937429762879994
8,120,5,1.9638423796554054,45.74938135070944
8,445,5,7.300569654265464,15.879619991597544
8,196,10,6.066231706693612,38.90035863176018
9,352,6,8.803713554877316,10.25558096058242
9,209,6,12.595791074618038,33.661662816949345
9,242,6,7.029617282095463,28.131155172305963
9,434,7,5.174601268856581,22.99347534023367
9,19,4,6.342758901623046,43.20104937844867
9,366,4,0.39979471428178376,38.18500933992143
9,361,6,2.1252475259530783,57.60592006377984
9,172,5,0.1590162446681938,18.040168457895803
9,119,2,8.35551657679635,30.432263925651867
9,394,4,0.3043263545635386,4.647936129659725
10,117,9,17.07393241052308,41.777139409592685
10,236,3,9.187032794850337,22.990831565488662
10,274,3,20.650568872484303,51.65468142459648
10,77,3,19.39043507766101,24.29412209705795
10,57,2,3.7424262001006117,16.201625803399164
10,239,7,1.0165867136882292,67.34300058050403
10,111,13,17.879876876077137,39.361885071202714
10,394,4,10.119892453844292,22.086225049975177
10,70,7,12.320235134674572,27.011023602090507
10,36,5,6.82236915893424,27.889053605697285
10,155,6,7.805246316903569,39.108318387671716
10,289,4,10.458490890793168,37.386840348516365
10,18,5,9.252578018468215,62.75191756999316
11,286,5,1.3620167262768108,14.442969584803313
11,278,5,12.43441216615482,17.412676664270816
11,203,5,2.5400547805467646,16.388302885395476
11,171,5,14.601720867384033,59.25180967440962
11,24,7,3.728229839746032,14.571345368304996
11,311,6,1.6766612040439413,11.085246230964923
11,292,6,0.3478919198472066,99.53873094488043
11,157,4,1.0713501288958605,24.318564698674106
12,469,9,0.18345429540931418,32.23019857710999
12,402,7,26.666455057717094,27.80704637657842
12,411,7,1.527620943138561,36.33932873506881
12,45,6,2.8157326073968196,28.109025840969405
12,158,5,5.6206904454318485,58.15310919721998
12,368,2,17.26760541058621,12.206311006094474
12,136,2,7.076128325395112,3.910847465207109
12,40,6,3.4522363513901015,62.76946776989022
12,68,7,0.17653830740167875,24.94723393845333
13,308,2,18.31648685225477,39.34258806392725
13,112,6,2.623486503746977,42.581741957674204
13,425,8,9.980684540968847,37.539826576244984
13,350,6,20.074674893586867,43.54192047212468
